id,질문,예상답변,정답
312,미국에서 동물세포 배양기술로 생산된 식품의 규제는 어느 기관이 담당할 계획인가?,미국 식품의약국(FDA)이 동물세포 배양기술로 생산된 식품의 규제를 담당할 계획입니다.,미국 식품의약품청(FDA)이 동물세포 배양기술로 생산된 식품의 규제를 담당할 계획이다.
313,미국에서 세포 배양육에 투자하는 주요 기업은 어디인가?,"미국에서 세포 배양육에 투자하는 주요 기업으로는 **Just**와 **Eat Just (formerly JUST, Inc.)**가 있습니다.","멤피스 미트(Memphis Meats)는 빌게이츠, 리처드 브랜슨, 카길 그리고 타이슨 푸드의 벤처 자금 지부의 지원을 받고 있다."
314,미래 식탁에서 귀뚜라미 밀가루는 어떤 장점이 있는가?,"귀뚜라미 밀가루는 고단백 저지방 식품으로 영양 균형을 맞추고, 친환경적이고 지속 가능한 식량 공급원이며, 생산 과정에서 탄소 배출량이 적어 미래 식탁의 지속 가능한 대안이 될 수 있습니다.","귀뚜라미 밀가루는 고기보다 단백질과 미량영양소가 풍부하며 좁은 공간에서 대량 생산이 가능하고, 상대적으로 적은 배설물을 생산해 돼지나 젖소 농장에서의 분뇨 문제를 피할 수 있다."
315,노퍽아일랜드로 수입되는 꿀의 개인 수화물 조건은 무엇인가요?,"노퍽아일랜드로 꿀을 개인 수화물로 수입하려면, 꿀이 살충제나 항생제로 처리되지 않았음을 증명하는 서류가 필요합니다. 또한, 수입량이 규정된 제한을 초과해서는 안 됩니다. 정확한 규정은 노퍽아일랜드 정부 웹사이트나 관세청에 문의하시는 것이 가장 좋습니다.","꿀의 개인 수화물은 1인당 750g을 초과하지 말아야 하며, 상업적으로 준비되고 포장된 호주 원산 제품이어야 하고, 벌에게 먹이지 말아야 합니다."
316,맥도날드는 언제부터 영국과 아일랜드 매장에서 플라스틱 빨대를 종이 빨대로 교체할 예정인가?,맥도날드는 2021년부터 영국과 아일랜드 매장에서 플라스틱 빨대를 종이 빨대로 교체할 예정입니다.,맥도날드는 9월부터 영국과 아일랜드 매장에서 플라스틱 빨대를 종이 빨대로 교체할 예정이다.
317,스코틀랜드 정부는 일회용 커피컵 금지를 통해 매년 몇 개의 컵이 버려지는 것을 방지할 것으로 기대하고 있나요?,스코틀랜드 정부는 일회용 커피컵 금지로 매년 약 500만 개의 컵이 버려지는 것을 방지할 것으로 기대하고 있습니다.,"450,000개의 컵이 버려지는 것을 방지할 것으로 기대됨."
318,최근 미국에서 발생한 살모넬라 인팬티스 감염의 주요 원인은 무엇인가?,최근 미국에서 발생한 살모넬라 인팬티스 감염의 주요 원인은 오염된 닭고기 섭취였습니다.,살모넬라 인팬티스 감염의 주요 원인은 항생제 내성이 생긴 살모넬라 인팬티스에 오염된 생닭이다.
319,FDA는 셧다운 중 어떤 기능을 계속 유지하나요?,FDA는 셧다운 중에도 제품의 안전성 검토와 규제 준수 관리 기능을 계속 유지합니다.,"FDA는 응급 검사, 고위험 약품 및 식품 회수, 형사 및 민사 조사와 시행, 수입 식의약품의 모니터링과 같은 공중보건에 중요하다고 고려되는 기능을 유지합니다."
320,호주 연방의료제품청이 페이스북 공식홈페이지를 개설한 날짜는 언제인가요?,"호주 연방의료제품청(Therapeutic Goods Administration, TGA)이 페이스북 공식 홈페이지를 개설한 정확한 날짜에 대한 공개 정보는 제한적입니다. 따라서 특정 날짜를 명확히 제공하기는 어렵습니다. 일반적으로 정부 기관들은 공식 채널 개설을 공식 발표를 통해 알리지만, TGA의 경우 해당 정보가 공개적으로 상세히 제공되지 않았습니다. 정확한 날짜 확인을 위해서는 TGA의 공식 발표나 기록을 직접 확인해야 할 것입니다.",2018년 9월 3일입니다.
321,"태국으로 꿀, 벌집 및 로얄젤리를 수출하려면 어떤 등록 절차를 따라야 하나요?","태국으로 꿀, 벌집 및 로얄젤리 수출을 위해서는  **태국 농림부 수출입 허가** 와 **식품의약품안전처의 식품 수입 승인** 을 받아야 합니다.","태국으로 수입되는 꿀, 벌집 및 로얄젤리는 2018년 9월 9일까지 태국 식품의약청(FDA)에 등록해야 하며, 수출업자는 수입업자와 협업하여 모든 요구 서류를 제공하여 등록과정을 완료해야 합니다."
322,브리즈번시의회가 금지할 계획인 플라스틱 제품은 무엇인가요?,브리즈번 시의회는 플라스틱 스트로우와 플라스틱 버블 랩 사용을 금지할 계획입니다.,"플라스틱 빨대, 헬륨 풍선, 일회용 물병"
323,Frog Holler Ltd.에서 회수 중인 방울토마토의 회수 사유는 무엇인가요?,"방울토마토의 회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 자세한 내용이 필요합니다. 만약 특정 사유가 알려져 있다면, 예를 들어 ""품질 문제로 인한 리콜""과 같은 형태로 답변 드리겠습니다.",살모넬라 오염 가능성
324,naturipe Blueberries 제품의 회수 사유는 무엇인가요?,Naturipe Blueberries 제품의 회수 사유는 유통기한 초과로 인한 품질 저하입니다.,살모넬라 검출
325,한국에서 H6N6 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,"한국에서 H6N6 조류 인플루엔자가 처음으로 공식적으로 확인된 정확한 날짜에 대한 기록은 명확하지 않으나, 주요 사례들이 보고되기 시작한 시기는 2003년경부터로 알려져 있습니다. 정확한 최초 발생 날짜에 대해서는 구체적인 기록이 제한적입니다.",2017년 11월 17일입니다.
326,Pictsweet Farms 아스파라거스 제품의 회수 사유는 무엇인가요?,Pictsweet Farms 아스파라거스의 회수 사유는 제품에서 미세 플라스틱 입자가 발견되었기 때문입니다.,리스테리아 모노사이토제네스 오염 가능성
327,HANA FOOD에서 제조한 대구류 제품이 부적합 판정을 받은 이유는 무엇인가요?,"대구류 제품이 부적합 판정을 받은 구체적인 이유는 공개되지 않았습니다. 다만, 제조 과정에서의 위생 문제나 제품 기준 미달 등이 원인일 가능성이 있습니다. 정확한 사유는 관련 기관의 공식 발표를 통해 확인 가능합니다.",HANA FOOD에서 제조한 대구류 제품은 리스테리아와 살모넬라 오염으로 인해 부적합 판정을 받았습니다.
328,Brenckle Farms의 신선 고수 회수 이유는 무엇인가요?,Brenckle Farms가 신선 고수를 회수한 이유는 품질 관리 부족으로 인한 곰팡이 발생 때문입니다.,리스테리아 모노사이토제네스 오염
329,Old Farmhouse 펍에서 식사한 사람들이 병에 걸린 원인은 무엇인가?,Old Farmhouse 펍에서 식사한 사람들이 병에 걸린 원인은 명확하게 제시된 정보가 없어 특정 원인을 단정짓기 어렵습니다. 추가적인 역학적 조사 결과가 필요합니다.,클로스트리디움 퍼프린젠스(Clostridium perfringens)라는 미생물이 가장 유력한 원인으로 조사되었다.
330,타라나키 및 와이카토 지역에서 패류를 섭취하면 왜 위험한가요?,타라나키 및 와이카토 지역에서 패류를 섭취하는 것은 위험할 수 있습니다. 이 지역의 해역에서 발생하는 자연적인 오염이나 특정 해양 생물의 독소로 인해 패류에 유해한 물질이 축적될 가능성이 있기 때문입니다.,정기 패류 검사에서 마비성 패독이 일차산업부가 정한 안전 기준인 0.8 mg/kg를 웃도는 수준으로 검출되었기 때문입니다.
331,뉴멕시코주에서 살모넬라 뉴포트 감염자가 발생한 시기는 언제인가요?,뉴멕시코주에서 최근에 살모넬라 뉴포트 감염자 발생에 대한 구체적인 날짜 정보는 제공된 정보로는 확인이 어렵습니다. 공식 보건 발표나 보고서를 통해 정확한 시기를 확인하시기 바랍니다.,"뉴멕시코 보건당국에 따르면, 이번 30명의 감염자가 8월 말부터 발생 사례로 기록되기 시작했습니다."
332,Safeguard Soft Flr 제품의 회수 사유는 무엇인가요?,"Safeguard Soft Flr 제품의 회수 사유는 공식 발표나 공지사항에 명시되지 않았으므로, 구체적인 회수 사유에 대해서는 확인되지 않았습니다. 정확한 사유는 제조업체나 관련 기관에 문의하시길 권장드립니다.",거래처 검사에서 살모넬라 양성 확인
333,캐나다에서 살모넬라 발병과 관련하여 회수된 제품은 무엇인가요?,캐나다에서 살모넬라 발병으로 회수된 제품에 대한 구체적인 정보가 제공되지 않았습니다. 정확한 제품명 없이는 특정한 답변을 드릴 수 없습니다. 발병 관련 공식 발표나 공고를 참고하시는 것이 좋습니다.,캐나다 Sofina Foods Inc.의 치킨버거가 살모넬라 오염 가능성으로 회수되었습니다.
334,사우스웨스트 항공이 땅콩 제공을 중단하는 이유는 무엇인가?,"사우스웨스트 항공이 땅콩 제공을 중단한 정확한 이유에 대한 공식 발표는 없으나, 대체적으로 알레르기 반응과 관련된 안전 문제 때문으로 추정됩니다.",땅콩 알레르기 있는 탑승자들의 우려를 주요 이유로 언급하여 땅콩 제공을 중단하기로 결정했다.
335,Gold Star Smoked Fish Corp.의 경고장 발부 사유는 무엇인가?,Gold Star Smoked Fish Corp.의 구체적인 경고장 발부 사유에 대해서는 공개된 정보로는 확인이 어렵습니다. 정확한 사유를 알고 싶으시다면 관련 당국이나 공식 발표 자료를 참고하시는 것이 좋습니다.,시설 내 환경 스왑 검사에서 리스테리아 모노사이토제네스가 검출되었기 때문이다.
336,Paranhae Co.에서 제조한 멸치 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가요?,"답변할 수 있는 구체적인 정보가 제공되지 않았습니다. 부적합 판정의 정확한 이유를 알려주시면 더욱 정확한 답변을 드릴 수 있습니다. 만약 특정 정보가 없다면, 일반적으로 부적합 판정은 미생물 오염, 화학물질 잔류, 라벨링 오류 등으로 인해 발생할 수 있습니다.","위생불량으로 비위생적인 조건에서 제조, 가공, 포장된 제품으로 801(a)(1)절에 따라 통관을 거부당했습니다."
337,육류를 전자레인지로 해동하면 어떤 위험이 있는가?,육류를 전자레인지로 해동하면 세균이 증식할 위험이 있습니다.,전자레인지로 해동하면 식중독에 걸릴 위험이 있다.
338,미국 트럼프 행정부가 제안한 정부조직 개편안 중 식품안전 관련 주요 내용은 무엇인가?,"트럼프 행정부의 개편안에서 식품안전 관련 주요 내용은 식품의약품안전처(FDA)의 역할을 확대하여 식품안전과 관련된 규제와 감독을 강화하는 방향이었습니다. 하지만 구체적인 조직 개편 내용은 때때로 변할 수 있으며, 핵심은 식품 안전과 관련된 규제 기관의 권한 강화였습니다. 정확한 세부 내용은 공식 발표를 참고해야 합니다.

**간결화된 답변**: 트럼프 행정부의 개편안은 FDA의 식품 안전 규제와 감독 역할을 강화하는 데 중점을 뒀습니다.","연방 식품안전감시기관을 하나의 단일 기관으로 마련하는 계획이 발표되었으며, 이는 농무부 산하에 통합할 것을 제안하고 있다."
339,SIA Piejura가 경고장을 받은 주요 위반사항은 무엇인가요?,SIA Piejura가 경고장을 받은 주요 위반사항은 구체적인 내용이 제공되지 않아 명시할 수 없습니다. 자세한 위반 사항은 관련 공식 문서를 참조해 주세요.,"업체의 제품인 구운 훈제 청어 캔제품을 수입하는 미국 업체로부터 확보한 HACCP 관리 계획에서 미국의 수산물 HACCP 규정 위반사항이 지속적으로 발견되었으며, 로트별 히스타민 과다 생성 문제를 해결할 한계기준이 미포함된 것이 주요 위반사항입니다."
340,영국에서 육류 샘플 검사 결과 가장 많이 잘못 표시된 제품은 무엇인가?,"영국의 육류 샘플 검사 결과 가장 많이 잘못 표시된 제품에 대한 구체적인 통계나 가장 최근의 데이터를 제공받지 못했으므로 정확한 답변을 드리기 어렵습니다. 일반적으로 이러한 문제는 가공육 제품이나 특정 종류의 육류에서 종종 발생할 수 있으나, 특정 제품명을 지정하기는 어렵습니다. 정확한 정보는 관련 기관의 최신 보고서를 참조하시는 것이 좋습니다.",가장 대표적으로 잘못 표시된 제품은 다진 식육이었다.
