id,질문,예상답변,정답,제목,gold문서
74,마헤쉬 페이텔은 어떤 법을 위반했나요?,"마헤쉬 페이텔은 상표법, 식품안전법, 유럽 식품 규정을 위반했습니다.","마헤쉬 페이텔은 상표법, 식품안전법, 유럽 식품 규정을 위반했습니다.","영국, 웨일스에서 화학물질을 함유한 가짜 보드카 판매 사례에 대한 재판 진행되어","영국, 웨일스에서 화학물질을 함유한 가짜 보드카 판매 사례에 대한 재판 진행되어 영국 웨일스 브리젠드(Bridgend) 지역에서 가짜 보드카 판매 사례에 대한 재판이 진행되었음. 거래기준청은 지난 2014년 6월 정기 단속을 하던 중 웨일스 매스터그(Maesteg) 지역의 한 상점에서 'Glen's Vodka' 상표 모조품 9병을 압수함.  용액 검사 결과, 세척제에 사용되는 화학물질 아이소프로판올(Isopropanol)이 발견되었음. 검사는 법정에서 해당 화학물질이 실명을 유발할 수 있고 인간 섭취 시 안전하지 못하다고 발언함. ..."
75,웨스트 버지니아주 주지사가 생유 거래 허용안을 거부한 이유는 무엇인가?,"웨스트 버지니아주 주지사는 생유 거래 허용안을 거부한 이유로 국민 건강에 심각한 위험을 초래할 수 있으며, 생유가 면역취약계층에 특히 위험하고 위생 관리 규정이 부실하다는 점을 들었음.","주지사는 법안이 '국민 건강에 심각한 위험을 초래할 수 있다'는 이유로 거부했으며, 생유는 면역취약계층에 특히 위험한 세균이 존재하고, 위생이나 취급, 보관을 감시하고 규제할 권한을 다룬 조항이 부실하다고 설명했다.","미국 웨스트 버지니아주 주지사, 생유 거래 허용안 거부","미국 웨스트 버지니아주 주지사, 생유 거래 허용안 거부 미국 웨스트 버지니아주 주지사가 생유 거래를 허용하자는 법안을 끝내 거부했음.  본 법안은 젖소공유협약 신고를 의무화하고, 생유 섭취로 인한 질병 발생시 지역 보건부에 의무 보고토록 해 생유를 법적으로 판매할 수 있도록 하는 내용을 골자로 함.  주지사는 법안이 ""국민 건강에 심각한 위험을 초래할 수 있다""는 이유를 들어, 법안을 거부했다고 전했음.  이어, ""첫째, 생유는 어린이와, 임산부 등 면역취약계층에 특히 위험한 세균 존재하고, 생유 자체가 기본적으로 위험하다. 둘째,..."
76,유럽연합 집행위원회가 식품 사기 방지를 위해 가동한 IT 도구의 이름은 무엇인가?,"행정지원협력(AAC)로 알려진 IT 도구의 이름은 명시적으로 주어지지 않았으나, 해당 시스템을 통해 가동된 주요 네트워크는 식품사기네트워크(FFN)임을 알 수 있습니다. 하지만 특정 도구 이름은 해당 문서에서 명확히 제시되지 않았습니다. 따라서 정확한 명칭에 대해서는 ""해당 문서에 없음""으로 답변 드립니다.",행정지원협력(AAC)로 알려진 전용 IT 도구,"EU집행위, 식품 사기 관련 협력 강화를 위한 IT 도구 가동","EU집행위, 식품 사기 관련 협력 강화를 위한 IT 도구 가동 유럽연합 집행위원회가 유럽 내 초국경적 위반 퇴치를 위해 노력 중인 회원국 관할당국 간의 행정정보 교환을 개선하기 위한 행정지원협력(AAC)로 알려진 전용 IT 도구를 가동했음.  2013년 말고기 파동 이후, 집행위원회는 식품 공급망 통제 강화를 위한 액션 플랜을 수립했음. 이러한 조치 중, 회원국 관할당국과 집행위원회 간의 신속한 정보교환을 보장하기 위한 범유럽 메커니즘 구축이었음. 그 결과, 식품사기네트워크(FFN)가 탄생했으며 초국경적 협력 요청을 취급하는 과제를..."
77,뉴욕 법무장관이 허브 보충제 조사 자료를 공개하지 않는 이유는 무엇인가?,"뉴욕 법무장관측은 조사 자료를 공개하지 않을 예정이라고 밝히며, 해당 자료가 진행 중인 조사의 일부임을 이유로 들었음.",자료는 진행 중인 조사의 일부이기 때문에 공개하지 않을 것이라고 전했음.,"미국 뉴욕 법무장관, 허브 보충제 관련 조사자료 발표하지 않을 예정...조사는 진행 중","미국 뉴욕 법무장관, 허브 보충제 관련 조사자료 발표하지 않을 예정...조사는 진행 중 미국 뉴욕 법무장관측 대변인은 장관측의 검사와 검사를 수행한 연구원의 선별에 대해 옹호하고 있음. 하지만, 다른 이들의 검토를 위해 자료를 공개하지 않을 것이라고 전했음. 그는 이번에 발표된 자료는 진행 중인 조사의 일부라고 덧붙였음. 진화 생물학자인 제임스 슐트 박사의 적합성에 관한 질문에 대해서는 ""70여건 이상의 논문에서 검증된 검사법을 질타하는것 대신에, 허브 보충제 업체에 그들의 제품에 우려되는 점을 바로잡을 시기가 도래했다. 사실상 우..."
78,뉴욕 법무장관의 허브 식이보충제 조사에 대해 미국 전문가들이 지적한 문제는 무엇인가?,미국 전문가들은 뉴욕 법무장관의 허브 식이보충제 조사에서 사용된 DNA 검사 방법이 검사 대상 제품들이 본래 원료에서 유래한 DNA를 거의 함유하지 않을 수 있다는 점에서 부적절하다고 지적했습니다. 해당 문서에 없음.,미국 전문가들은 뉴욕 법무장관의 허브 식이보충제 조사에서 국가 기준을 적용하는데 설명 불가능한 결함이 있었다고 지적했다.,"미국 전문가, 뉴욕 법무장관의 조사 내용 중 결함 지적","미국 전문가, 뉴욕 법무장관의 조사 내용 중 결함 지적 미국 전문가들은 허브 식이보충제 검사를 위해 수립된 국가 기준을 적용하는데 있어 시작부터 설명 불가능한 결함이 있었다고 이들 식이보충제와 관련한 뉴욕 법무장관의 조사에 대해 언급했음. 대신 법무부장관 측은 식물성분 보충제를 제품에 대한 DNA 검사를 수행하기 위해 식물 표본 검사 경력이 부재한 자를 고용해 뉴욕 주에서 사들인 허브 보충제를 조사했음.  미국 생약약전(American Herbal Pharmacopoeia, AHP) 설립자이자 행정관리인인 로이 업튼씨와 'Flora..."
79,청록색 호박 프로젝트는 어떤 단체에 의해 시작되었나요?,청록색 호박 프로젝트는 식품 알레르기 연구교육(Food Allergy Research  Education (F.A.R.E.)) 단체에 의해 시작되었습니다.,식품 알레르기 연구교육(Food Allergy Research Education (F.A.R.E.))에 의해 시작된 국가적인 캠페인입니다.,식품 알레르기를 보유한 아이를 위한 청록색 호박 프로젝트,식품 알레르기를 보유한 아이를 위한 청록색 호박 프로젝트 25가구 이상의 집에서 (다른) 아이들과 부모들에게 자신들이 알레르기를 가진 아이가 있다는 메시지를 청록색(Teal) 호박 통해 보내고 있음. 청록색(Teal) 호박 프로젝트는 식품 알레르기 연구교육(Food Allergy Research  Education (F.A.R.E.))에 의해 시작된 국가적인 캠페인임. 할로윈 때 청록색 호박을 집 앞에 놓음으로써 식품 알레르기가 있음을 알림. 지역의 조직이 도움을 주고 있음. RC Wiley는 청록색으로 색칠한 30개의 호박을 기부...
80,아칸소 주 하원에서 통과된 주류승인절차 개정안의 주요 내용은 무엇인가?,주류승인 건수 제한 증가와 승인 무효화 유효기간이 18개월로 단축되었음.,법안에 따르면 각 카운티의 위원회가 발행할 수 있는 승인 건수는 현행보다 줄어들고 승인 무효화에 걸리는 유효기간은 18개월이 됨.,"미국 아칸소 주, 주류승인절차 개정안 하원 통과","미국 아칸소 주, 주류승인절차 개정안 하원 통과 미국 아칸소 주 하원은 6일, 주류승인절차 개정안을 찬성 65표 반대19표로 통과시켰음.  법안에 따르면 각 카운티의 위원회가 발행할 수 있는 승인 건수는 현행보다 줄어들고 승인 무효화에 걸리는 유효기간은 18개월이 됨. 법안에 찬성하는 의원들은 개정법이 신구 사업자들에게 유익할 것이라고 평가하는 반면, 반대하는 의원들은 주류 업계의 경쟁을 위축시킬 것이라고 우려함.  법안은 현재 상원으로 이송됐음...."
81,동물 사료의 항생제 남용이 어린이에게 어떤 위험을 초래할 수 있는가?,동물 사료의 항생제 남용은 어린이에게 항생제 내성균에 의한 감염 위험을 높일 수 있음. 해당 문서에 없음.,"동물 사료의 항생제 남용으로 인해 항생제 내성균이 생겨나고, 이는 영아와 어린이들이 감염될 경우 치료가 어려워져 생명이 위험해질 수 있다.",사료의 항생제 사용으로 어린이 위험해질 수 있어...의사 경고,"사료의 항생제 사용으로 어린이 위험해질 수 있어...의사 경고 동물 사료의 항생제 남용으로 어린이의 생명이 위험해질 수 있는 감염을 치료하기 어려워졌다는 소아과 의사들의 경고를 담은 보고서(*)가 발표되었음.  미국 소아학회지(AAP)에 게재된 이번 보고서에서는 건강한 가축에 생장을 촉진하고, 질병을 예방하기 위해 만연하게 사용해온 관행이 진짜 사람을 치료해야 할 때 정작 항생제가 효능을 발휘할 수 없게 만들었다고 전했음.  펜실베니아대학 교수이자 필라델피아 어린이병원의 테오클리스 카오우티스 박사는 ""동물에 먹인 항생제로 항생제 내..."
82,세계보건기구가 권고하는 성인 및 어린이의 유리당 일일 섭취량은 얼마인가요?,세계보건기구는 성인 및 어린이의 유리당 일일 섭취량을 총 에너지 섭취량의 **10% 이하**로 줄일 것을 권고합니다.,"성인 및 어린이에게 유리당 일일 섭취량을 총 에너지 섭취량의 10% 이하로 줄일 것을 권고하며, 5% 이하 혹은 대략 25g 이하로 줄이는 것은 건강상 이득을 가져다 줄 수 있음.","세계보건기구, 성인 및 어린이 당 섭취 감소 촉구","세계보건기구, 성인 및 어린이 당 섭취 감소 촉구 세계보건기구(WHO)의 신규 지침은 성인 및 어린이에게 유리당(Free Sugar) 일일 섭취량을 총 에너지 섭취량의 10% 이하로 줄일 것을 권고함. 하루에 당 섭취 비율을 5% 이하 혹은 대략 25g 이하로 줄이는 것은 건강상 이득을 가져다 줄 수 있음. 유리당은 식품에 첨가된 글루코스 및 과당과 같은 단당류(monosaccharide), 자당 및 일반 설탕과 같은 이당류(disaccharide), 꿀, 과일 주스 등에 자연적으로 포함된 당분을 의미함. 그러나 신선 과일 및 채소..."
83,WHO의 가공육 발암 보고서에 대해 미국 식육업계는 어떻게 반응했는가?,"미국 식육업계는 WHO의 가공육 발암 보고서를 비난하며, 가공육의 안전성을 강조했습니다. 해당 문서에 없음.","미국 식육업계는 WHO의 명성과 연구 방법을 비난하며, 가공육은 안전하다고 반박했다.","미국 식육업계, WHO의 가공육 발암 보고서 비난","미국 식육업계, WHO의 가공육 발암 보고서 비난 세계보건기구(WHO)가 베이컨과 소시지 등 가공육이 암과 관련이 있다는 보고서를 새로 발표하자 미국 식육업계와 관련 국회위원회가 맹비난하고 나섰음.  식육가공업체를 대변하는 단체들은 WHO의 명성과 연구 방법을 비난하면서, 핫도그와 소시지 등 가공육은 더할 나위없이 안전하다고 반박했음.  하원 농업위 위원장은 이번 주장은 유리잔부터 유아용 파우더 등 모든 물품을 왜곡하고, 그릇되게 해석하여 끔찍한 질병과 연결 지으려는 단체의 편향된 연구에 기반했다고 말했음.  한편, 북미식육연구소 ..."
84,허쉬(사)는 어떤 제품에 진짜 바닐라를 사용하기로 했나요?,허쉬(사)는 우유 초콜릿 허쉬 키세스와 바 제품에 진짜 바닐라를 사용하기로 했습니다.,허쉬(사)는 우유 초콜릿 허쉬 키세스와 바 제품에 진짜 바닐라를 사용하기로 했습니다.,"미국 허쉬(사), 키세스, 초콜릿바 제품에 인공 첨가물 대신 진짜 바닐라 사용하기로","미국 허쉬(사), 키세스, 초콜릿바 제품에 인공 첨가물 대신 진짜 바닐라 사용하기로 허쉬(사)는 이번 주 업체의 우유 초콜릿 허쉬 키세스와 바 제품에 인공 첨가물 대신 진짜 바닐라를 사용할 계획을 전했음. 이는 지난 2월, 'The Hershey Co.'가 더욱 간소화된 원료를 사용하겠다고 밝힌 이래 첫 움직임임. 많은 식품업체가 덜 가공된 식품에 대한 소비자 수요에 맞추기 위해 인공 착향료, 색소, 그리고 원료 사용을 중단해가고 있음. 소비자들은 앞으로 초콜렛 성분목록을 통해 바닐라 향을 내기 위해 사용된 인공 원료 '바닐린' 대..."
85,FDA가 트랜스지방 금지로 예방할 수 있다고 밝힌 심근경색 건수는 몇 건인가?,FDA는 트랜스지방 금지 조치로 심근경색 2만 건을 예방할 수 있다고 밝혔음.,2만 건,"미국, 식품 중 트랜스지방 금지 임박","미국, 식품 중 트랜스지방 금지 임박 미국 식품의약품청(FDA)의 발표가 임박한 가운데, 조만간 유해 트랜스지방을 미국민의 식품망에서 곧 자취를 감출 것으로 보임. FDA는 트랜스지방 금지 조치로 심근경색 2만 건과 사망 7천 건을 예방할 수 있다고 전했음. 식품 중에 들어있는 대부분의 트랜스지방은 부분경화유에서 생성됨. FDA는 이 유지류를 '일반적으로 안전하다고 여겨지는 물질(GRAS)'로 지정해 청의 사전 허가를 받지 않고도 식품에 사용할 수 있도록 허가하고 있었음.  그러나 문제의 부분경화유를 식품첨가물로 재분류하는 규칙(안..."
